DATE,AVERAGE TEMPERATURE
01/01/2020,29.15
02/01/2020,27.7
03/01/2020,24.15
04/01/2020,24.65
05/01/2020,24.85
06/01/2020,26.45
07/01/2020,28.4
08/01/2020,27.2
09/01/2020,27.7
10/01/2020,28.75
11/01/2020,30.55
12/01/2020,28.35
13/01/2020,25.2
14/01/2020,24.95
15/01/2020,26.55
16/01/2020,28.6
17/01/2020,25.25
18/01/2020,22.5
19/01/2020,23.3
20/01/2020,24.25
21/01/2020,24.25
22/01/2020,24.55
23/01/2020,23.6
24/01/2020,22.8
25/01/2020,23.9
26/01/2020,24.7
27/01/2020,26.7
28/01/2020,28.2
29/01/2020,28.2
30/01/2020,28.65
31/01/2020,27.9
01/02/2020,27.75
02/02/2020,26.8
03/02/2020,25.95
04/02/2020,24.5
05/02/2020,25.3
06/02/2020,24.7
07/02/2020,25.7
08/02/2020,26.3
09/02/2020,28.5
10/02/2020,26.4
11/02/2020,21.9
12/02/2020,21.2
13/02/2020,22.4
14/02/2020,23.6
15/02/2020,26.1
16/02/2020,27.5
17/02/2020,26.35
18/02/2020,28.8
19/02/2020,29.8
20/02/2020,30.15
21/02/2020,27.1
22/02/2020,23.6
23/02/2020,22.2
24/02/2020,22.95
25/02/2020,25.6
26/02/2020,27.6
27/02/2020,24.3
28/02/2020,21.35
29/02/2020,22.95
01/03/2020,22.4
02/03/2020,20.7
03/03/2020,22.5
04/03/2020,22.9
05/03/2020,22.65
06/03/2020,23.4
07/03/2020,23.25
08/03/2020,23.95
09/03/2020,25.2
10/03/2020,25.05
11/03/2020,25.05
12/03/2020,24.3
13/03/2020,25.85
14/03/2020,26.35
15/03/2020,27.6
16/03/2020,27.95
17/03/2020,26.2
18/03/2020,25.15
19/03/2020,27.05
20/03/2020,27.4
21/03/2020,22.85
22/03/2020,23.2
23/03/2020,23.08
24/03/2020,22.3
25/03/2020,22.6
26/03/2020,22.7
27/03/2020,23.9
28/03/2020,24.75
29/03/2020,25.6
30/03/2020,24.55
31/03/2020,25.1
01/04/2020,24.95
02/04/2020,25.8
03/04/2020,26.75
04/04/2020,24.1
05/04/2020,23.95
06/04/2020,25.35
07/04/2020,24.6
08/04/2020,21.5
09/04/2020,21.15
10/04/2020,21.6
11/04/2020,21.1
12/04/2020,20.9
13/04/2020,21.95
14/04/2020,23.9
15/04/2020,25.7
16/04/2020,23.6
17/04/2020,21.5
18/04/2020,21.95
19/04/2020,21.85
20/04/2020,22.2
21/04/2020,21.8
22/04/2020,22.7
23/04/2020,23.4
24/04/2020,23.4
25/04/2020,22.95
26/04/2020,23.95
27/04/2020,23.3
28/04/2020,23
29/04/2020,23.5
30/04/2020,24.4
01/05/2020,23.25
02/05/2020,22.95
03/05/2020,20.4
04/05/2020,20.1
05/05/2020,22.05
06/05/2020,23.5
07/05/2020,19.9
08/05/2020,19.5
09/05/2020,19.05
10/05/2020,20.25
11/05/2020,21.05
12/05/2020,21.1
13/05/2020,21.9
14/05/2020,22.1
15/05/2020,19.6
16/05/2020,20.6
17/05/2020,21.6
18/05/2020,22.25
19/05/2020,21.7
20/05/2020,21.7
21/05/2020,22.15
22/05/2020,23.25
23/05/2020,25.25
24/05/2020,22.5
25/05/2020,20.5
26/05/2020,19.4
27/05/2020,18.35
28/05/2020,20.05
29/05/2020,18.95
30/05/2020,20
31/05/2020,20.7
01/06/2020,20.7
02/06/2020,19.95
03/06/2020,21.05
04/06/2020,21.9
05/06/2020,22.4
06/06/2020,22.45
07/06/2020,22.8
08/06/2020,22.7
09/06/2020,23.1
10/06/2020,23.5
11/06/2020,24.3
12/06/2020,24.5
13/06/2020,24.7
14/06/2020,22.2
15/06/2020,20.25
16/06/2020,20.8
17/06/2020,21.6
18/06/2020,20.1
19/06/2020,20.7
20/06/2020,22.45
21/06/2020,24.3
22/06/2020,23.75
23/06/2020,22.15
24/06/2020,21.25
25/06/2020,21.5
26/06/2020,22.45
27/06/2020,22.2
28/06/2020,20.4
29/06/2020,20.35
30/06/2020,21.4
01/07/2020,24.45
02/07/2020,21.2
03/07/2020,20.3
04/07/2020,19.3
05/07/2020,20.25
06/07/2020,21.8
07/07/2020,22.4
08/07/2020,23.415
09/07/2020,21.45
10/07/2020,20.5
11/07/2020,20.4
12/07/2020,23.65
13/07/2020,23.95
14/07/2020,21.55
15/07/2020,18.55
16/07/2020,18.65
17/07/2020,19.45
18/07/2020,21.1
19/07/2020,21.1
20/07/2020,21.35
21/07/2020,22.25
22/07/2020,22.5
23/07/2020,22.4
24/07/2020,22.6
25/07/2020,24.05
26/07/2020,22.55
27/07/2020,23.65
28/07/2020,24.55
29/07/2020,22.8
30/07/2020,19.2
31/07/2020,18.9
01/08/2020,18.8
02/08/2020,19.6
03/08/2020,19
04/08/2020,20.3
05/08/2020,19.15
06/08/2020,20.5
07/08/2020,20.5
08/08/2020,21
09/08/2020,21.7
10/08/2020,22.3
11/08/2020,23.75
12/08/2020,23.05
13/08/2020,24.35
14/08/2020,23.75
15/08/2020,23.8
16/08/2020,21.8
17/08/2020,22.4
18/08/2020,24.2
19/08/2020,24.35
20/08/2020,21.4
21/08/2020,18.25
22/08/2020,16.75
23/08/2020,17.2
24/08/2020,17.5
25/08/2020,18.5
26/08/2020,19.25
27/08/2020,19.8
28/08/2020,22.5
29/08/2020,24
30/08/2020,25.9
31/08/2020,23.6
01/09/2020,22
02/09/2020,22.95
03/09/2020,24.2
04/09/2020,25.9
05/09/2020,23.8
06/09/2020,22.45
07/09/2020,23.35
08/09/2020,23.35
09/09/2020,24.25
10/09/2020,24.85
11/09/2020,24.5
12/09/2020,26.15
13/09/2020,25.75
14/09/2020,26.6
15/09/2020,23.6
16/09/2020,24.05
17/09/2020,25.05
18/09/2020,25.2
19/09/2020,25.05
20/09/2020,22.75
21/09/2020,22.3
22/09/2020,19.3
23/09/2020,20.05
24/09/2020,22.3
25/09/2020,23.2
26/09/2020,24.5
27/09/2020,27.4
28/09/2020,26.45
29/09/2020,24.35
30/09/2020,25.7
01/10/2020,27
02/10/2020,30
03/10/2020,27.2
04/10/2020,23.15
05/10/2020,23.85
06/10/2020,25.15
07/10/2020,25.15
08/10/2020,24.6
09/10/2020,23.65
10/10/2020,22.85
11/10/2020,21.3
12/10/2020,22.5
13/10/2020,24.5
14/10/2020,25.45
15/10/2020,23.8
16/10/2020,22.25
17/10/2020,21.05
18/10/2020,22.65
19/10/2020,23.75
20/10/2020,25.1
21/10/2020,24.9
22/10/2020,23.5
23/10/2020,23.55
24/10/2020,23.75
25/10/2020,23.65
26/10/2020,23.1
27/10/2020,24.55
28/10/2020,27.3
29/10/2020,26.05
30/10/2020,22.9
31/10/2020,19.6
01/11/2020,19.7
02/11/2020,19.45
03/11/2020,20.4
04/11/2020,20.45
05/11/2020,20.65
06/11/2020,20.4
07/11/2020,21.75
08/11/2020,22.3
09/11/2020,23.4
10/11/2020,23.85
11/11/2020,24.35
12/11/2020,24.2
13/11/2020,24.2
14/11/2020,24.7
15/11/2020,25.6
16/11/2020,25.3
17/11/2020,23.75
18/11/2020,22.4
19/11/2020,22.4
20/11/2020,20.9
21/11/2020,21.65
22/11/2020,22.35
23/11/2020,22.2
24/11/2020,24.15
25/11/2020,24.7
26/11/2020,26.9
27/11/2020,27.35
28/11/2020,26.7
29/11/2020,26.1
30/11/2020,28.2
01/12/2020,27.1
02/12/2020,25.35
03/12/2020,27.6
04/12/2020,28.6
05/12/2020,25.95
06/12/2020,23.4
07/12/2020,23.45
08/12/2020,24.05
09/12/2020,23.95
10/12/2020,22.95
11/12/2020,24.15
12/12/2020,25.4
13/12/2020,25.2
14/12/2020,28.25
15/12/2020,28.3
16/12/2020,27.4
17/12/2020,26.2
18/12/2020,26.85
19/12/2020,27.2
20/12/2020,28.9
21/12/2020,29.1
22/12/2020,25.95
23/12/2020,22.25
24/12/2020,20.75
25/12/2020,22.4
26/12/2020,23.55
27/12/2020,23.65
28/12/2020,24.55
29/12/2020,26
30/12/2020,26.6
31/12/2020,28.75
01/01/2021,26.6
02/01/2021,24.7
03/01/2021,23.8
04/01/2021,25.4
05/01/2021,27.2
06/01/2021,28.4
07/01/2021,28.9
08/01/2021,29.3
09/01/2021,27.5
10/01/2021,28.3
11/01/2021,28.4
12/01/2021,29.1
13/01/2021,29.1
14/01/2021,28.2
15/01/2021,27.8
16/01/2021,29
17/01/2021,29.9
18/01/2021,30.7
19/01/2021,28.8
20/01/2021,28.4
21/01/2021,28
22/01/2021,27.1
23/01/2021,27.9
24/01/2021,27.3
25/01/2021,28.3
26/01/2021,29
27/01/2021,30.4
28/01/2021,31.1
29/01/2021,31.6
30/01/2021,31.5
31/01/2021,30.8
01/02/2021,30.3
02/02/2021,30
03/02/2021,29.3
04/02/2021,30.7
05/02/2021,26.3
06/02/2021,22.1
07/02/2021,22.8
08/02/2021,22.4
09/02/2021,23.4
10/02/2021,24.3
11/02/2021,25.5
12/02/2021,25.8
13/02/2021,26.6
14/02/2021,26.6
15/02/2021,26
16/02/2021,26.6
17/02/2021,27.5
18/02/2021,26.1
19/02/2021,26.6
20/02/2021,27.2
21/02/2021,25.8
22/02/2021,25.7
23/02/2021,26.3
24/02/2021,26.2
25/02/2021,25.9
26/02/2021,25.9
27/02/2021,26.2
28/02/2021,27.3
01/03/2021,26.8
02/03/2021,27.5
03/03/2021,23.8
04/03/2021,29.7
05/03/2021,28.8
06/03/2021,27.4
07/03/2021,23.7
08/03/2021,24.7
09/03/2021,25.3
10/03/2021,25.3
11/03/2021,26.5
12/03/2021,27
13/03/2021,26.9
14/03/2021,27.1
15/03/2021,27.9
16/03/2021,26.9
17/03/2021,26.3
18/03/2021,28.1
19/03/2021,27.8
20/03/2021,27.5
21/03/2021,27.6
22/03/2021,27.5
23/03/2021,27.3
24/03/2021,27.1
25/03/2021,27.1
26/03/2021,28
27/03/2021,28.4
28/03/2021,28.4
29/03/2021,26.7
30/03/2021,24.8
31/03/2021,24.8
01/04/2021,25.1
02/04/2021,25.1
03/04/2021,24.6
04/04/2021,24.8
05/04/2021,23.4
06/04/2021,23.8
07/04/2021,24.5
08/04/2021,24.8
09/04/2021,26.8
10/04/2021,27
11/04/2021,27.5
12/04/2021,24
13/04/2021,24.8
14/04/2021,23.8
15/04/2021,24.1
16/04/2021,24.2
17/04/2021,24.5
18/04/2021,25.2
19/04/2021,24.1
20/04/2021,22.4
21/04/2021,21.8
22/04/2021,21.8
23/04/2021,22.5
24/04/2021,22.6
25/04/2021,24.2
26/04/2021,23.9
27/04/2021,24.8
28/04/2021,25
29/04/2021,25
30/04/2021,23.6
01/05/2021,22.6
02/05/2021,23.8
03/05/2021,25
04/05/2021,26.6
05/05/2021,28.7
06/05/2021,28.1
07/05/2021,26.5
08/05/2021,26
09/05/2021,25.7
10/05/2021,23.2
11/05/2021,26
12/05/2021,26.7
13/05/2021,25.8
14/05/2021,24.8
15/05/2021,24.3
16/05/2021,25.2
17/05/2021,25.3
18/05/2021,23.3
19/05/2021,23.9
20/05/2021,24.1
21/05/2021,24.1
22/05/2021,25.4
23/05/2021,26.5
24/05/2021,27.1
25/05/2021,24.3
26/05/2021,22.8
27/05/2021,23.4
28/05/2021,24.8
29/05/2021,25.7
30/05/2021,28.5
31/05/2021,24.4
01/06/2021,22.5
02/06/2021,24.5
03/06/2021,20.2
04/06/2021,22.7
05/06/2021,23.3
06/06/2021,23.5
07/06/2021,22.9
08/06/2021,23.6
09/06/2021,23.2
10/06/2021,23
11/06/2021,22
12/06/2021,21.2
13/06/2021,19.9
14/06/2021,19.2
15/06/2021,19
16/06/2021,20
17/06/2021,19.5
18/06/2021,19.6
19/06/2021,20.3
20/06/2021,22.4
21/06/2021,21.6
22/06/2021,19
23/06/2021,20.3
24/06/2021,19.2
25/06/2021,20.7
26/06/2021,21.7
27/06/2021,22.2
28/06/2021,20.7
29/06/2021,20.2
30/06/2021,17.9
01/07/2021,17.9
02/07/2021,18.2
03/07/2021,18.7
04/07/2021,19.9
05/07/2021,19.1
06/07/2021,19.2
07/07/2021,19.3
08/07/2021,18.3
09/07/2021,19.8
10/07/2021,20.4
11/07/2021,20.2
12/07/2021,20.7
13/07/2021,21.2
14/07/2021,22.3
15/07/2021,23.1
16/07/2021,21.6
17/07/2021,21.1
18/07/2021,20.9
19/07/2021,20.1
20/07/2021,17.9
21/07/2021,16.4
22/07/2021,18.1
23/07/2021,20.1
24/07/2021,20
25/07/2021,20.3
26/07/2021,21.6
27/07/2021,23.5
28/07/2021,20.6
29/07/2021,17.1
30/07/2021,17
31/07/2021,16.7
01/08/2021,17.5
02/08/2021,18.3
03/08/2021,18.9
04/08/2021,18.4
05/08/2021,18.7
06/08/2021,19.8
07/08/2021,19.8
08/08/2021,21.2
09/08/2021,21.4
10/08/2021,22.7
11/08/2021,21.5
12/08/2021,20.2
13/08/2021,19.8
14/08/2021,18.7
15/08/2021,20
16/08/2021,22.8
17/08/2021,23.5
18/08/2021,25.6
19/08/2021,26.9
20/08/2021,28.7
21/08/2021,23.3
22/08/2021,25
23/08/2021,29.4
24/08/2021,29.4
25/08/2021,29.6
26/08/2021,31.4
27/08/2021,24.3
28/08/2021,23.7
29/08/2021,23.6
30/08/2021,21.8
31/08/2021,20.7
01/09/2021,23.5
02/09/2021,22.7
03/09/2021,23.1
04/09/2021,22.8
05/09/2021,21.3
06/09/2021,20.1
07/09/2021,21.7
08/09/2021,22.2
09/09/2021,23.2
10/09/2021,23.9
11/09/2021,23.2
12/09/2021,24.4
13/09/2021,23.6
14/09/2021,23.5
15/09/2021,23
16/09/2021,23.7
17/09/2021,23.8
18/09/2021,24.9
19/09/2021,25.1
20/09/2021,24.5
21/09/2021,23.2
22/09/2021,21.4
23/09/2021,21.6
24/09/2021,22.4
25/09/2021,22.6
26/09/2021,23.4
27/09/2021,24.7
28/09/2021,23.5
29/09/2021,22.7
30/09/2021,24.1
01/10/2021,25
02/10/2021,26.7
03/10/2021,25.6
04/10/2021,24.5
05/10/2021,24.3
06/10/2021,23.4
07/10/2021,23.5
08/10/2021,23.8
09/10/2021,23
10/10/2021,23.2
11/10/2021,23.1
12/10/2021,24.1
13/10/2021,26.2
14/10/2021,24.9
15/10/2021,23.5
16/10/2021,23.1
17/10/2021,23.6
18/10/2021,24.3
19/10/2021,24.5
20/10/2021,23.1
21/10/2021,22
22/10/2021,22.7
23/10/2021,23.4
24/10/2021,23.8
25/10/2021,23.6
26/10/2021,23.4
27/10/2021,25.7
28/10/2021,26.1
29/10/2021,24.8
30/10/2021,24.5
31/10/2021,24.1
01/11/2021,24
02/11/2021,23.2
03/11/2021,24.8
04/11/2021,24.3
05/11/2021,23.9
06/11/2021,22.6
07/11/2021,23.2
08/11/2021,22.7
09/11/2021,23.3
10/11/2021,24.2
11/11/2021,24.7
12/11/2021,24.2
13/11/2021,25
14/11/2021,25.6
15/11/2021,25.9
16/11/2021,24.1
17/11/2021,23.3
18/11/2021,24.1
19/11/2021,23
20/11/2021,21.1
21/11/2021,22.4
22/11/2021,24.5
23/11/2021,25.8
24/11/2021,24.5
25/11/2021,24.6
26/11/2021,24.4
27/11/2021,25
28/11/2021,25
29/11/2021,24.6
30/11/2021,26.6
01/12/2021,26.2
02/12/2021,24.9
03/12/2021,24.5
04/12/2021,25.9
05/12/2021,26.6
06/12/2021,24
07/12/2021,23
08/12/2021,22.4
09/12/2021,23.2
10/12/2021,24.1
11/12/2021,25
12/12/2021,26.3
13/12/2021,27
14/12/2021,27.7
15/12/2021,28.6
16/12/2021,28.6
17/12/2021,28
18/12/2021,27.9
19/12/2021,27
20/12/2021,28
21/12/2021,28.5
22/12/2021,28.3
23/12/2021,25.2
24/12/2021,23.8
25/12/2021,23.8
26/12/2021,24.6
27/12/2021,25.1
28/12/2021,25.7
29/12/2021,26.8
30/12/2021,27.1
31/12/2021,28.3
01/01/2022,28.3
02/01/2022,27.3
03/01/2022,26.6
04/01/2022,27.3
05/01/2022,27.1
06/01/2022,27.8
07/01/2022,29.7
08/01/2022,29.8
09/01/2022,28.8
10/01/2022,29.2
11/01/2022,29.8
12/01/2022,29.2
13/01/2022,28.2
14/01/2022,27.9
15/01/2022,28.6
16/01/2022,29.6
17/01/2022,28.8
18/01/2022,28.1
19/01/2022,27.9
20/01/2022,27.9
21/01/2022,27.9
22/01/2022,27.7
23/01/2022,27.5
24/01/2022,27.1
25/01/2022,26.9
26/01/2022,26.8
27/01/2022,29
28/01/2022,30.3
29/01/2022,30.8
30/01/2022,31
31/01/2022,30.2
01/02/2022,30.2
02/02/2022,29.8
03/02/2022,28.7
04/02/2022,27.5
05/02/2022,25.5
06/02/2022,23.9
07/02/2022,24.4
08/02/2022,25.1
09/02/2022,26.5
10/02/2022,26.8
11/02/2022,26.5
12/02/2022,26.1
13/02/2022,25.1
14/02/2022,25.3
15/02/2022,25.9
16/02/2022,26.9
17/02/2022,27.4
18/02/2022,27.4
19/02/2022,28.2
20/02/2022,28.7
21/02/2022,27
22/02/2022,26.2
23/02/2022,26.3
24/02/2022,27.1
25/02/2022,27.6
26/02/2022,27
27/02/2022,26.2
28/02/2022,25.6
01/03/2022,25.8
02/03/2022,24.7
03/03/2022,25
04/03/2022,26.9
05/03/2022,26.9
06/03/2022,27.1
07/03/2022,25.9
08/03/2022,26.5
09/03/2022,26.6
10/03/2022,26
11/03/2022,26.6
12/03/2022,26.9
13/03/2022,27.4
14/03/2022,27.6
15/03/2022,27.8
16/03/2022,27.6
17/03/2022,27
18/03/2022,27.6
19/03/2022,28.5
20/03/2022,27.5
21/03/2022,25
22/03/2022,24.8
23/03/2022,25.1
24/03/2022,25.4
25/03/2022,25.7
26/03/2022,26.2
27/03/2022,26.3
28/03/2022,26.5
29/03/2022,25.6
30/03/2022,24.6
31/03/2022,25.1
01/04/2022,25.3
02/04/2022,25.5
03/04/2022,26
04/04/2022,25.5
05/04/2022,25.9
06/04/2022,26.4
07/04/2022,30.8
08/04/2022,25
09/04/2022,24.1
10/04/2022,24.7
11/04/2022,24.6
12/04/2022,23.7
13/04/2022,24.9
14/04/2022,24.8
15/04/2022,25.2
16/04/2022,24.9
17/04/2022,24.3
18/04/2022,24.4
19/04/2022,24.2
20/04/2022,23.8
21/04/2022,23.7
22/04/2022,23.9
23/04/2022,24.1
24/04/2022,24.6
25/04/2022,24.9
26/04/2022,25.3
27/04/2022,25.9
28/04/2022,24.6
29/04/2022,24.7
30/04/2022,24.6
01/05/2022,24.1
02/05/2022,24.3
03/05/2022,24.4
04/05/2022,25
05/05/2022,26.3
06/05/2022,26.4
07/05/2022,24.8
08/05/2022,23.7
09/05/2022,23.2
10/05/2022,22.9
11/05/2022,24.4
12/05/2022,25
13/05/2022,24.8
14/05/2022,24.5
15/05/2022,22.7
16/05/2022,23.3
17/05/2022,23.1
18/05/2022,22.6
19/05/2022,23
20/05/2022,23.2
21/05/2022,23.7
22/05/2022,24.6
23/05/2022,25.6
24/05/2022,24.7
25/05/2022,23.1
26/05/2022,22
27/05/2022,21.6
28/05/2022,23.1
29/05/2022,23.1
30/05/2022,24.8
31/05/2022,24.1
01/06/2022,23.2
02/06/2022,22.8
03/06/2022,21.5
04/06/2022,22
05/06/2022,22
06/06/2022,22.4
07/06/2022,22.3
08/06/2022,22.7
09/06/2022,22.8
10/06/2022,23
11/06/2022,23.4
12/06/2022,23.2
13/06/2022,23.2
14/06/2022,22.4
15/06/2022,21.6
16/06/2022,21.7
17/06/2022,21.6
18/06/2022,21
19/06/2022,21.4
20/06/2022,23
21/06/2022,23.2
22/06/2022,21.8
23/06/2022,21.7
24/06/2022,21.5
25/06/2022,22.4
26/06/2022,23.6
27/06/2022,23.4
